k,X,Y,class
778,2635,8314,1
779,6960,3392,9
780,3801,6514,1
781,5928,3515,4
782,4213,6274,0
783,7315,7823,1
784,2356,6877,1
785,7783,1953,4
786,7305,3751,0
787,4360,9867,1
788,8624,8419,5
789,5382,5672,5
790,7092,1236,6
791,3864,3999,0
792,3181,6156,5
793,6284,8425,1
794,7024,1595,2
795,9228,1830,0
796,4904,6991,2
797,4488,5794,4
798,2291,8434,4
799,5254,9505,1
800,4626,6273,4
801,3110,5558,5
802,4558,6393,4
803,4340,1722,7
804,5659,6150,4
805,5515,3755,6
806,5241,3995,6
807,8551,6383,4
808,8957,3747,8
809,6556,7226,3
810,7924,3390,6
811,2911,8553,1
812,8072,7941,3
813,7783,2192,0
814,5938,7587,3
815,7388,9380,4
816,5803,9025,3
817,8761,8179,6
818,6270,2915,9
819,9309,6740,2
820,4150,8550,0
821,8271,4467,0
822,5253,9026,3
823,6077,8305,2
824,6549,4112,1
825,5238,2798,3
826,2087,9273,5
827,8487,8659,5
828,4346,4117,0
829,8753,4586,3
830,4482,3638,8
831,5307,2917,0
832,3390,7234,2
833,4288,8549,0
834,7381,6745,3
835,3726,3999,5
836,5031,2918,3
837,4764,6272,0
838,4415,4237,6
839,5791,3994,1
840,4890,1481,7
841,8542,2790,5
842,7586,6146,1
843,6481,4711,0
844,7029,3272,9
845,8817,2549,0
846,6207,5191,5
847,8483,6742,3
848,3312,3521,2
849,6559,8184,0
850,4016,9987,1
851,5863,5311,2
852,6753,3273,9
853,5516,4234,0
854,1939,4962,4
855,7714,2073,4
856,7368,1475,0
857,3461,8312,8
858,7587,6385,6
859,2980,8672,7
860,5530,9744,1
861,2224,9273,5
862,7174,6386,4
863,5234,1121,1
864,9296,1710,5
865,9029,4825,0
866,9038,8658,5
867,5734,8905,2
868,6286,9143,2
869,5669,10223,0
870,3671,9868,1
871,2837,6517,2
872,5240,3756,0
873,6211,6628,2
874,5372,1599,4
875,3310,2802,1
876,2283,5081,0
877,7662,9140,5
878,4564,8788,1
879,8469,1233,5
880,5383,6151,1
881,5859,3635,9
882,6754,3752,3
883,5857,2676,4
884,7302,2313,9
885,8759,6981,2
886,3386,5797,5
887,4344,3159,1
888,8200,3629,6
889,8545,3987,0
890,4688,3278,7
891,6208,5430,5
892,6684,3153,9
893,9235,4944,1
894,5253,9266,3
895,5511,1839,0
896,2155,8914,4
897,4964,3517,0
898,3874,8071,0
899,8006,9019,5
900,8210,7941,3
901,6007,7707,3
902,8951,1112,5
903,8061,3390,6
904,7299,1116,6
905,3038,4240,1
906,5453,6510,1
907,7454,8302,4
908,2969,4121,1
909,8680,2789,6
910,4001,3759,3
911,2964,2204,4
912,3110,5318,5
913,8694,8778,5
914,8894,6023,3
915,8009,10217,5
916,4823,2319,3
917,7231,1715,1
918,7301,2074,0
919,4692,4715,3
920,9163,3387,4
921,6268,1957,6
922,8134,4947,8
923,3050,9031,7
924,7110,8662,4
925,8139,7103,0
926,4280,5195,4
927,8347,7461,4
928,4893,2439,1
929,9159,1950,0
930,8410,5185,8
931,7165,2793,9
932,4979,9506,1
933,8816,2310,0
934,4893,2679,8
935,3934,4597,6
936,8960,4705,3
937,6494,9981,2
938,6683,2674,9
939,3735,7592,2
940,5509,1120,4
941,3459,7354,2
942,7104,5788,4
943,6202,3274,9
944,7458,10218,0
945,6148,9383,6
946,4559,6632,3
947,4072,4597,6
948,6680,1476,0
949,7095,2434,9
950,6476,2315,2
951,8964,6382,2
952,3391,7713,2
953,2974,6277,3
954,4971,6392,3
955,9301,3626,1
956,5925,2556,4
957,7712,1115,6
958,6128,999,7
959,9244,8298,5
960,8418,8300,5
961,4757,3398,1
962,3809,9868,1
963,3931,3160,7
964,6752,2794,9
965,7231,1475,4
966,4481,3159,1
967,5113,8068,2
968,4134,2082,3
969,6417,6508,0
970,7449,6386,0
971,3935,4837,0
972,5858,3155,6
973,6282,7466,2
974,6002,5790,0
975,8212,8899,5
976,8892,5065,4
977,4978,9266,8
978,4636,10106,1
979,5028,1720,7
980,7792,5786,1
981,6411,4112,1
982,2009,5800,6
983,4079,7472,5
984,2551,1966,4
985,7371,2433,9
986,2966,2683,1
987,5254,9745,1
988,6970,7465,8
989,7576,2073,1
990,7238,4350,2
991,5166,1720,1
992,9237,5423,8
993,5792,4473,3
994,1601,7717,0
995,5657,5432,3
996,9247,9495,5
997,9023,2669,6
998,4764,6033,5
999,8416,7581,4
1000,9240,6621,2
1001,3175,4000,0
1002,7446,4948,7
1003,7438,1594,1
1004,9298,2189,0
1005,2705,8673,4
1006,5380,4714,5
1007,5446,3396,0
1008,8003,7822,4
1009,5458,8427,3
1010,9037,8178,5
1011,6348,6628,2
1012,3943,8191,0
1013,6489,7825,1
1014,5726,5551,0
1015,2551,2205,4
1016,7510,3151,9
1017,8757,6263,1
1018,2841,8193,3
1019,5512,2318,1
1020,9161,2429,0
1021,8548,5185,1
1022,4274,3039,1
1023,7235,3392,4
1024,4010,7352,2
1025,6833,7705,2
1026,2425,6997,3
1027,4065,1962,1
1028,7095,2194,9
1029,5379,4235,0
1030,5924,2077,6
1031,8473,2909,5
1032,7713,1833,4
1033,7801,9619,0
1034,8484,7222,3
1035,3872,7352,2
1036,3319,6635,8
1037,3035,3042,8
1038,6272,3394,4
1039,6133,3155,9
1040,7099,3871,0
1041,8412,6144,0
1042,3315,4958,8
1043,8608,1711,6
1044,4683,1362,7
1045,2845,9870,0
1046,4751,1002,7
1047,6273,3873,8
