X,Y,class
-3.1611373,6.1776814,7
6.5117702,5.6945662,4
1.4050106,-2.045656,5
2.8746486,1.1392992,0
-5.2321253,0.7509936,2
2.7312012,1.2803873,0
5.7757926,5.1490207,4
-1.8233762,2.87933,1
6.450213,3.9217799,4
-0.6575027,2.5654564,1
0.554025,-4.001218,6
-1.282503,0.043519877,2
3.0343652,1.0841045,0
-3.3892534,2.999481,1
-0.4331118,1.8397727,1
5.897745,5.222361,4
3.0074584,1.7352152,0
3.5752697,-0.33246395,0
-1.3285407,3.475674,1
-0.7812771,-2.0011935,5
-2.3766255,4.0162244,1
-2.7696211,4.2256846,1
0.45951194,-0.6697203,5
-4.1245375,1.0390848,2
3.929717,1.2218564,0
-1.3929052,-2.9837008,3
-2.7611756,0.65111536,2
2.5185883,-1.3338875,5
3.7513094,0.9479777,0
-2.0166075,0.3131066,8
-2.8064559,1.382144,2
-2.7374926,4.862272,1
0.5706762,1.6753023,0
-5.4533224,0.7724182,2
1.8449465,-1.7641442,6
-5.694197,-0.3756262,2
2.9235163,-0.8147469,5
-2.642632,-2.8109648,3
-4.1888103,0.21700668,2
3.868681,3.2481546,4
1.0874584,-2.1963184,6
0.5701204,-2.2945342,6
4.425259,3.657546,4
-2.7687702,2.9530826,1
4.3597236,4.896888,4
-1.7204636,1.0022415,3
3.0114114,-0.5845279,5
-1.7804468,-0.12551773,3
-0.14757396,-1.7783077,5
1.0276548,1.8227824,0
3.4660714,0.85074157,0
-0.753922,0.024910334,3
-1.9842103,6.123948,7
-2.8893313,-1.1033746,3
0.53461057,-0.41495863,6
-5.7116885,1.4159585,2
-1.4132193,-3.8444555,5
4.247784,0.9051742,0
0.6325971,-3.8800733,6
-2.6071348,4.1605363,1
3.4548798,2.6900241,0
-1.9774835,1.8512834,1
-0.21653661,-2.6150157,6
-1.6261393,-0.22114635,3
4.7046638,3.559439,4
1.5117358,4.8296013,9
5.928263,5.5100436,4
0.36185905,0.5980063,0
-0.69994104,-2.8574324,5
-1.526036,0.19009727,3
-3.467224,4.1723356,1
-3.902845,-0.50392604,2
-3.036915,5.727012,7
-1.5954283,1.459,1
4.1047096,0.38622168,5
-5.4814754,-0.27864406,2
-0.51067126,3.8743021,1
4.7663255,3.932034,4
-6.3192377,1.1193159,2
-0.21582566,2.6129246,1
-2.8011072,0.1998449,8
-3.6623847,0.37753963,2
0.38368133,0.84464854,0
-2.1869655,-3.5362074,5
3.9500232,2.5264919,4
